"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Agreement_Text__c","nFORCE__Document__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Review_And_Accept_Document__c"
"a3V5f000000zYh3EAE","0055f000004XdsRAAS","","Sample Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","4ergsad4gs","a2E5f000000y1qaEAA","423346032766523","","false"
"a3V5f000000zYh4EAE","0055f000004XdsRAAS","","Sample All In One Disclosure","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Please review and accept the terms of this {0}.","0155f000001dmSjAAI","a2E5f000000y1qeEAA","42037433347546789","","true"
"a3V5f000000zYh5EAE","0055f000004XdsRAAS","","Sample Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","4ergsad4gs","a2E5f000000y1rQEAQ","42236359093427903","","false"
"a3V5f000000zYh6EAE","0055f000004XdsRAAS","","Privacy Policy","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I acknowledge that I have read and agree to the {0}.","x","a2E5f000000y1qwEAA","42653973224039443","","false"
"a3V5f000000zYh7EAE","0055f000004XdsRAAS","","Sample All In One Disclosure","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Please review and accept the terms of this {0}.","0155f000001dmSj","a2E5f000000y1qwEAA","42011415873586934","","true"
"a3V5f000000zYh8EAE","0055f000004XdsRAAS","","Sample Route Terms","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I, {0}, acknowledge that the above information is up-to-date and thatÂ {1} has reviewed {2}.","null","a2E5f000000y1rgEAA","42891312219419775","","false"
"a3V5f000000zYh9EAE","0055f000004XdsRAAS","","Credit Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I have read the {0} document and authorize Demo Bank to pull my credit.","0","a2E5f000000y1t9EAA","42394404889756043","","false"
"a3V5f000000zYhAEAU","0055f000004XdsRAAS","","Credit Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I agree to the credit consent report and authorize TigerStrike Bank to pull my credit.","0","a2E5f000000y1tJEAQ","42579037291547076","","false"
"a3V5f000000zYhBEAU","0055f000004XdsRAAS","","Sample Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","0","a2E5f000000y1tJEAQ","42492542544276623","","false"
"a3V5f000000zYhCEAU","0055f000004XdsRAAS","","Sample Consent","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","I consent to receive electronic communications and transactions from Demo Bank.","4ergsad4gs","a2E5f000000y1t9EAA","42965142988363175","","false"
